voltage,time,height
7.5,951.64,0.1316
7.5,952.65,0.1316
7.5,953.65,0.1316
7.5,954.65,0.1316
7.5,955.66,0.1229
7.5,956.66,0.1239
7.5,957.66,0.1239
7.5,958.66,0.1239
7.5,960.66,0.1239
7.5,961.67,0.1239
7.5,962.68,0.1239
7.5,963.69,0.1239
7.5,964.7,0.1239
7.5,965.72,0.1239
7.5,966.73,0.1239
7.5,967.75,0.1239
7.5,968.77,0.1239
7.5,969.78,0.1239
7.5,970.8,0.1239
7.5,971.82,0.1239
7.5,972.83,0.1239
7.5,973.85,0.1239
7.5,974.86,0.1324
7.5,975.87,0.1324
7.5,976.89,0.1324
7.5,977.91,0.1324
7.5,979.93,0.1324
7.5,980.94,0.1324
7.5,981.97,0.1324
7.5,982.98,0.1324
7.5,984,0.1324
7.5,985.02,0.1324
7.5,986.03,0.1324
7.5,987.05,0.1324
7.5,988.06,0.1324
7.5,989.07,0.1324
7.5,990.09,0.1324
7.5,991.1,0.1324
7.5,992.12,0.1239
7.5,993.13,0.1239
7.5,994.14,0.1239
7.5,995.16,0.1248
7.5,996.17,0.1248
7.5,997.19,0.1248
7.5,998.2,0.1248
7.5,1000.2,0.1248
7.5,1001.2,0.1248
7.5,1002.2,0.1248
7.5,1003.3,0.1248
7.5,1004.3,0.1248
7.5,1005.3,0.1248
7.5,1006.3,0.1248
7.5,1007.3,0.1248
7.5,1008.3,0.1248
7.5,1009.4,0.1248
7.5,1010.4,0.1248
7.5,1011.4,0.1248
7.5,1012.4,0.1248
7.5,1013.4,0.1248
7.5,1014.4,0.1248
7.5,1015.5,0.1333
7.5,1016.5,0.1333
7.5,1017.5,0.1333
7.5,1018.5,0.1333
7.5,1020.5,0.1333
7.5,1021.5,0.1333
7.5,1022.5,0.1333
7.5,1023.5,0.1333
7.5,1024.5,0.1333
7.5,1025.5,0.1333
7.5,1026.5,0.1333
7.5,1027.5,0.1333
7.5,1028.6,0.1333
7.5,1029.6,0.1333
7.5,1030.6,0.1333
7.5,1031.6,0.1333
7.5,1032.6,0.1333
7.5,1033.6,0.1248
7.5,1034.6,0.1248
7.5,1035.6,0.1256
7.5,1036.6,0.1256
7.5,1037.6,0.1256
7.5,1038.6,0.1256
7.5,1040.7,0.1256
7.5,1041.7,0.1299
7.5,1042.7,0.1299
7.5,1043.7,0.1299
7.5,1044.7,0.1299
7.5,1045.7,0.1299
7.5,1046.7,0.1299
7.5,1047.7,0.1299
7.5,1048.7,0.1299
7.5,1049.7,0.1299
7.5,1050.7,0.1299
7.5,1051.7,0.1299
7.5,1052.7,0.1299
7.5,1053.7,0.1299
7.5,1054.7,0.1299
7.5,1055.8,0.1299
7.5,1056.8,0.1299
7.5,1057.8,0.1341
7.5,1058.8,0.1341
7.5,1060.8,0.1341
7.5,1061.8,0.1341
7.5,1062.8,0.1341
7.5,1063.9,0.1341
7.5,1064.9,0.1341
7.5,1065.9,0.1341
7.5,1066.9,0.1341
7.5,1067.9,0.1341
7.5,1068.9,0.1341
7.5,1070,0.1341
7.5,1071,0.1341
7.5,1072,0.1341
7.5,1073,0.1341
7.5,1074,0.1341
7.5,1075,0.1341
7.5,1076.1,0.1341
7.5,1077.1,0.1299
7.5,1078.1,0.1299
7.5,1079.1,0.1299
7.5,1081.1,0.1299
7.5,1082.1,0.1299
7.5,1083.2,0.1299
7.5,1084.2,0.1299
7.5,1085.2,0.1299
7.5,1086.2,0.1299
7.5,1087.2,0.1299
7.5,1088.2,0.1299
7.5,1089.3,0.1299
7.5,1090.3,0.1299
7.5,1091.3,0.1299
7.5,1092.3,0.1299
7.5,1093.3,0.1299
7.5,1094.3,0.1299
7.5,1095.3,0.1307
7.5,1096.4,0.1307
7.5,1097.4,0.1307
7.5,1098.4,0.1307
7.5,1099.4,0.1307
7.5,1101.4,0.1307
